dataset,num_requests,avg_prompt_len,p50_prompt_len,p95_prompt_len,avg_output_len,p50_output_len,p95_output_len,arrival_rate,source
sharegpt,96,979.198,722.0,2469.0,192.062,158.0,438.0,4.0,measured_by_our_code
alpaca,96,102.188,87.0,219.0,33.865,32.0,59.0,4.0,measured_by_our_code
