experiment,dataset,model,baseline,block_size,request_rate,decoding_mode,normalized_latency_mean,normalized_latency_p50,normalized_latency_p95,sustainable_request_rate,avg_concurrent_requests,peak_concurrent_requests,useful_capacity_ratio,internal_fragmentation_ratio,external_fragmentation_ratio,prefix_memory_saving_ratio,kernel_or_translation_overhead,source
e1_throughput,sharegpt,OPT-13B,fastertransformer_like,16,2,basic_sampling,0.015503111770833333,0.01363473,0.02589365,2,5.385416666666667,15.0,0.28491465250651044,0.7150853474934896,0.1070418187719654,0.0,,measured_by_our_code
e1_throughput,sharegpt,OPT-13B,fastertransformer_like,16,4,basic_sampling,0.023425546874999998,0.02060239,0.03912589,4,16.197916666666668,45.0,0.28491465250651044,0.7150853474934896,0.1070418187719654,0.0,,measured_by_our_code
e1_throughput,sharegpt,OPT-13B,fastertransformer_like,16,8,basic_sampling,0.03584681,0.03152669,0.05987216,8,49.572916666666664,138.0,0.28491465250651044,0.7150853474934896,0.1070418187719654,0.0,,measured_by_our_code
e1_throughput,sharegpt,OPT-13B,orca_max,16,1,basic_sampling,0.0048572857291666665,0.0042719,0.00811275,1,1.125,2.0,0.28491465250651044,0.7150853474934896,0.06972396774228125,0.0,,measured_by_our_code
e1_throughput,sharegpt,OPT-13B,orca_max,16,16,basic_sampling,0.018260044375,0.01605939,0.03049836,16,50.5,140.0,0.28491465250651044,0.7150853474934896,0.06972396774228125,0.0,,measured_by_our_code
e1_throughput,sharegpt,OPT-13B,orca_max,16,2,basic_sampling,0.005922538645833334,0.00520877,0.00989197,2,2.0520833333333335,6.0,0.28491465250651044,0.7150853474934896,0.06972396774228125,0.0,,measured_by_our_code
e1_throughput,sharegpt,OPT-13B,orca_max,16,4,basic_sampling,0.008366269583333334,0.00735799,0.01397354,4,5.802083333333333,16.0,0.28491465250651044,0.7150853474934896,0.06972396774228125,0.0,,measured_by_our_code
e1_throughput,sharegpt,OPT-13B,orca_max,16,8,basic_sampling,0.012773004999999999,0.01123364,0.02133378,8,17.677083333333332,49.0,0.28491465250651044,0.7150853474934896,0.06972396774228125,0.0,,measured_by_our_code
e1_throughput,sharegpt,OPT-13B,orca_oracle,16,1,basic_sampling,0.002931117604166667,0.00257787,0.00489561,1,1.0,1.0,1.0,0.0,0.03332008337137395,0.0,,measured_by_our_code
e1_throughput,sharegpt,OPT-13B,orca_oracle,16,16,basic_sampling,0.006125198229166667,0.00538701,0.01023042,16,16.916666666666668,47.0,1.0,0.0,0.03332008337137395,0.0,,measured_by_our_code
e1_throughput,sharegpt,OPT-13B,orca_oracle,16,2,basic_sampling,0.0033096505208333334,0.00291078,0.00552784,2,1.2395833333333333,3.0,1.0,0.0,0.03332008337137395,0.0,,measured_by_our_code
e1_throughput,sharegpt,OPT-13B,orca_oracle,16,4,basic_sampling,0.003997212916666667,0.00351548,0.00667622,4,2.7708333333333335,8.0,1.0,0.0,0.03332008337137395,0.0,,measured_by_our_code
e1_throughput,sharegpt,OPT-13B,orca_oracle,16,8,basic_sampling,0.004944383854166667,0.00434851,0.0082582,8,6.8125,19.0,1.0,0.0,0.03332008337137395,0.0,,measured_by_our_code
e1_throughput,sharegpt,OPT-13B,orca_pow2,16,1,basic_sampling,0.0036848342708333333,0.00324075,0.00615449,1,1.0104166666666667,2.0,0.9316204282429504,0.06837957175704958,0.051617315719014324,0.0,,measured_by_our_code
e1_throughput,sharegpt,OPT-13B,orca_pow2,16,16,basic_sampling,0.008552165625,0.00752149,0.01428402,16,23.635416666666668,66.0,0.9316204282429504,0.06837957175704958,0.051617315719014324,0.0,,measured_by_our_code
e1_throughput,sharegpt,OPT-13B,orca_pow2,16,2,basic_sampling,0.004354803645833333,0.00382998,0.00727349,2,1.5416666666666667,4.0,0.9316204282429504,0.06837957175704958,0.051617315719014324,0.0,,measured_by_our_code
e1_throughput,sharegpt,OPT-13B,orca_pow2,16,4,basic_sampling,0.005391591354166667,0.00474182,0.00900515,4,3.6979166666666665,10.0,0.9316204282429504,0.06837957175704958,0.051617315719014324,0.0,,measured_by_our_code
e1_throughput,sharegpt,OPT-13B,orca_pow2,16,8,basic_sampling,0.0067985290625,0.0059792,0.01135505,8,9.4375,26.0,0.9316204282429504,0.06837957175704958,0.051617315719014324,0.0,,measured_by_our_code
e1_throughput,sharegpt,OPT-13B,pagedkv,16,1,basic_sampling,0.0016749259375,0.00147307,0.0027975,1,1.0,1.0,0.9918863777077901,0.008113622292209839,0.0,0.0,,measured_by_our_code
e1_throughput,sharegpt,OPT-13B,pagedkv,16,16,basic_sampling,0.0023113975,0.00203284,0.00386055,16,6.427083333333333,18.0,0.9918863777077901,0.008113622292209839,0.0,0.0,,measured_by_our_code
e1_throughput,sharegpt,OPT-13B,pagedkv,16,2,basic_sampling,0.0017419229166666667,0.00153199,0.0029094,2,1.0104166666666667,2.0,0.9918863777077901,0.008113622292209839,0.0,0.0,,measured_by_our_code
e1_throughput,sharegpt,OPT-13B,pagedkv,16,4,basic_sampling,0.0018591680208333331,0.00163511,0.00310523,4,1.3854166666666667,4.0,0.9918863777077901,0.008113622292209839,0.0,0.0,,measured_by_our_code
e1_throughput,sharegpt,OPT-13B,pagedkv,16,8,basic_sampling,0.002060158854166667,0.00181188,0.00344093,8,2.8541666666666665,8.0,0.9918863777077901,0.008113622292209839,0.0,0.0,,measured_by_our_code
e2_memory_efficiency,alpaca,OPT-13B,orca_max,16,4.0,basic_sampling,0.0036590855208333338,0.00349513,0.00464372,4.0,6.953666666666667,8.0,0.033215840657552086,0.9667841593424479,0.0697251873722462,0.0,,measured_by_our_code
e2_memory_efficiency,alpaca,OPT-13B,orca_oracle,16,4.0,basic_sampling,0.0019311835416666668,0.00184465,0.00245085,4.0,17.871197916666667,21.0,1.0,0.0,0.029758809032454994,0.0,,measured_by_our_code
e2_memory_efficiency,alpaca,OPT-13B,orca_pow2,16,4.0,basic_sampling,0.002242665,0.00214217,0.00284615,4.0,14.371197916666667,17.0,0.8983273359263406,0.10167266407365932,0.048877753336337204,0.0,,measured_by_our_code
e2_memory_efficiency,alpaca,OPT-13B,pagedkv,16,4.0,basic_sampling,0.0013904527083333333,0.00132815,0.00176462,4.0,27.299041666666668,33.0,0.9441401576109757,0.05585984238902437,0.0,0.0,,measured_by_our_code
e2_memory_efficiency,sharegpt,OPT-13B,orca_max,16,4.0,basic_sampling,0.004407699166666667,0.0038765,0.00736184,4.0,9.909833333333333,12.0,0.28491465250651044,0.7150853474934896,0.06972396774228125,0.0,,measured_by_our_code
e2_memory_efficiency,sharegpt,OPT-13B,orca_oracle,16,4.0,basic_sampling,0.0023262859375,0.00204593,0.00388542,4.0,19.381510416666668,23.0,1.0,0.0,0.03332008337137395,0.0,,measured_by_our_code
e2_memory_efficiency,sharegpt,OPT-13B,orca_pow2,16,4.0,basic_sampling,0.0027014932291666662,0.00237592,0.0045121,4.0,23.829968750000003,28.0,0.9316204282429504,0.06837957175704958,0.051617315719014324,0.0,,measured_by_our_code
e2_memory_efficiency,sharegpt,OPT-13B,pagedkv,16,4.0,basic_sampling,0.0016749259375,0.00147307,0.0027975,4.0,43.22688541666667,51.0,0.9918863777077901,0.008113622292209839,0.0,0.0,,measured_by_our_code
e3_workload_sensitivity,alpaca,OPT-13B-dev,orca_max,16,4.0,basic_sampling,0.0036590855208333338,0.00349513,0.00464372,4.0,1.0104166666666667,2.0,0.033215840657552086,0.9667841593424479,0.0697251873722462,0.0,,measured_by_our_code
e3_workload_sensitivity,alpaca,OPT-13B-dev,orca_oracle,16,4.0,basic_sampling,0.0019311835416666668,0.00184465,0.00245085,4.0,1.0,1.0,1.0,0.0,0.029758809032454994,0.0,,measured_by_our_code
