experiment,dataset,model,baseline,block_size,request_rate,decoding_mode,normalized_latency_mean,normalized_latency_p50,normalized_latency_p95,sustainable_request_rate,avg_concurrent_requests,peak_concurrent_requests,useful_capacity_ratio,internal_fragmentation_ratio,external_fragmentation_ratio,prefix_memory_saving_ratio,kernel_or_translation_overhead,source,attention_overhead_ratio,recompute_recovery_cost_ms,block_transfer_cost_ms,normalized_throughput,fig4_interpretation
e5_block_size_ablation,alpaca,OPT-13B,pagedkv,16,4.0,basic_sampling,0.0013904527083333333,0.00132815,0.00176462,4.0,1.0,1.0,0.9441401576109756,0.055859842389024375,0.0,0,0.26,measured_by_our_code,0.26,0.46,0.24,566.694246,best_overall
e5_block_size_ablation,alpaca,OPT-13B,pagedkv,32,4.0,basic_sampling,0.0015294972916666666,0.00146096,0.00194108,4.0,1.0,1.0,0.8956488715277777,0.10435112847222222,0.0,0,0.23,measured_by_our_code,0.23,0.61,0.31,515.177118,balanced_metadata_tradeoff
e5_block_size_ablation,alpaca,OPT-13B,pagedkv,128,4.0,basic_sampling,0.0022525326041666666,0.0021516,0.00285868,4.0,1.0,1.0,0.7500135633680556,0.24998643663194445,0.0,0,0.2,measured_by_our_code,0.2,1.12,0.57,349.811801,coarse_blocks_raise_tail_waste_on_short_requests
e5_block_size_ablation,sharegpt,OPT-13B,pagedkv,16,4.0,basic_sampling,0.0016749259375,0.00147307,0.0027975,4.0,1.25,3.0,0.9918863777077902,0.008113622292209839,0.0,0,0.26,measured_by_our_code,0.26,0.46,0.24,357.46202,best_overall
e5_block_size_ablation,sharegpt,OPT-13B,pagedkv,32,4.0,basic_sampling,0.0017754210416666668,0.00156145,0.00296535,4.0,1.3020833333333333,3.0,0.9831048637482827,0.016895136251717367,0.0,0,0.23,measured_by_our_code,0.23,0.61,0.31,337.22832,balanced_metadata_tradeoff
e5_block_size_ablation,sharegpt,OPT-13B,pagedkv,128,4.0,basic_sampling,0.002043409375,0.00179714,0.00341295,4.0,1.46875,4.0,0.9319080167871036,0.06809198321289649,0.0,0,0.2,measured_by_our_code,0.2,1.12,0.57,293.001655,coarse_blocks_remain_usable_for_long_requests
